"","Data","T","RH","V","P","Ra","es","ea","VPD","RS0","Rs","RNL","RNS","ET0"
"","2019-04-01","3.70","43.90","0.00","0.00","26.3","0.8","0.35","0.45","19.73","16.99","4.94","13.09","1.52"
"","2019-04-02","6.30","25.00","0.50","0.00","26.92","0.95","0.24","0.72","20.19","17.31","5.42","13.33","2.09"
"","2019-04-03","11.10","28.70","0.40","0.00","27.26","1.32","0.38","0.94","20.45","13.37","4.17","10.29","1.9"
"","2019-04-04","12.90","30.40","0.20","0.00","27.59","1.49","0.45","1.04","20.69","11.39","3.5","8.77","1.54"
"","2019-04-05","13.00","41.20","0.00","0.00","27.93","1.5","0.62","0.88","20.95","17.69","5.04","13.62","2.08"
"","2019-04-06","13.10","40.60","0.10","0.00","28.26","1.51","0.61","0.9","21.2","14.93","4.21","11.49","1.87"
"","2019-04-07","11.20","46.80","0.00","0.00","28.55","1.33","0.62","0.71","21.41","7.56","2.04","5.82","0.88"
"","2019-04-08","10.20","48.00","0.00","0.00","28.85","1.24","0.6","0.65","21.64","8.28","2.2","6.38","0.94"
"","2019-04-09","4.60","61.40","0.00","0.00","29.14","0.85","0.52","0.33","21.86","10.31","2.55","7.94","1.03"
"","2019-04-10","2.30","57.80","0.00","0.00","29.43","0.72","0.42","0.3","22.07","13.2","3.25","10.16","1.23"
"","2019-04-11","2.30","66.90","0.00","0.00","29.73","0.72","0.48","0.24","22.3","10.8","2.56","8.31","1.02"
"","2019-04-12","3.70","57.00","0.00","0.00","30.02","0.8","0.45","0.34","22.52","9.9","2.41","7.62","0.97"
"","2019-04-13","4.30","57.10","0.00","0.00","30.31","0.83","0.47","0.36","22.73","10.54","2.54","8.12","1.06"
"","2019-04-14","8.30","44.70","0.10","0.00","30.61","1.09","0.49","0.61","22.96","18.55","4.7","14.29","2.13"
"","2019-04-15","7.10","46.10","0.00","0.00","30.9","1.01","0.47","0.54","23.18","8.39","2.09","6.46","0.91"
"","2019-04-16","8.00","40.10","0.00","0.00","31.19","1.07","0.43","0.64","23.39","17.04","4.32","13.12","1.87"
"","2019-04-17","12.50","37.60","0.00","0.00","31.48","1.45","0.55","0.9","23.61","16.24","4.19","12.51","1.99"
"","2019-04-18","13.30","37.70","0.00","0.00","31.78","1.53","0.58","0.95","23.84","11.41","2.92","8.79","1.43"
"","2019-04-19","13.50","37.40","0.00","0.00","32.07","1.55","0.58","0.97","24.05","16.94","4.3","13.04","2.14"
"","2019-04-20","11.60","35.90","0.00","0.00","32.32","1.37","0.49","0.88","24.24","16.56","4.19","12.75","2.01"
"","2019-04-21","11.90","40.10","0.10","0.00","32.57","1.39","0.56","0.83","24.43","20.58","5.05","15.85","2.64"
"","2019-04-22","11.30","53.40","0.10","0.00","32.87","1.34","0.72","0.62","24.65","16.78","3.8","12.92","2.18"
"","2019-04-23","14.60","33.70","0.60","0.00","33.16","1.66","0.56","1.1","24.87","20.52","5.16","15.8","3.32"
"","2019-04-24","16.20","34.50","0.30","0.00","33.41","1.84","0.64","1.21","25.06","11.33","2.82","8.72","1.93"
"","2019-04-25","19.30","46.90","0.00","0.00","33.66","2.24","1.05","1.19","25.25","21.44","4.78","16.51","3.23"
"","2019-04-26","20.00","48.70","0.00","0.00","33.91","2.34","1.14","1.2","25.43","10.78","2.34","8.3","1.66"
"","2019-04-27","13.20","72.60","0.00","0.00","34.16","1.52","1.1","0.42","25.62","20.2","3.96","15.55","2.82"
"","2019-04-28","11.80","74.20","0.00","2.10","34.42","1.38","1.03","0.36","25.82","14.42","2.81","11.1","1.95"
"","2019-04-29","15.00","58.80","0.00","0.50","34.67","1.71","1","0.7","26","17.39","3.58","13.39","2.49"
"","2019-04-30","14.00","40.00","0.00","0.00","34.92","1.6","0.64","0.96","26.19","15.64","3.59","12.05","2.1"
"","2019-05-01","12.60","44.50","0.00","0.00","35.17","1.46","0.65","0.81","26.38","21.22","4.71","16.34","2.79"
"","2019-05-02","10.50","62.00","0.00","0.00","35.42","1.27","0.79","0.48","26.57","12.37","2.5","9.53","1.6"
"","2019-05-03","8.70","62.10","0.00","0.20","35.67","1.12","0.7","0.43","26.75","14.71","2.96","11.32","1.81"
"","2019-05-04","6.10","70.10","0.00","4.20","35.92","0.94","0.66","0.28","26.94","20.09","3.91","15.47","2.32"
"","2019-05-05","7.40","61.00","0.00","0.20","36.17","1.03","0.63","0.4","27.13","21.22","4.24","16.34","2.53"
"","2019-05-06","7.80","50.30","0.00","0.00","36.43","1.06","0.53","0.53","27.32","9.11","1.89","7.01","1.08"
"","2019-05-07","9.10","46.70","0.00","0.00","36.68","1.16","0.54","0.62","27.51","9.17","1.92","7.06","1.13"
"","2019-05-08","11.40","40.30","0.10","0.00","36.93","1.35","0.54","0.8","27.7","23.86","5.15","18.37","3.16"
"","2019-05-09","11.10","64.00","0.10","3.90","37.14","1.32","0.85","0.48","27.86","9.29","1.77","7.15","1.3"
"","2019-05-10","12.30","77.30","0.00","0.40","37.35","1.43","1.11","0.32","28.01","13.65","2.41","10.51","1.93"
"","2019-05-11","13.00","64.50","0.00","0.00","37.56","1.5","0.97","0.53","28.17","9.39","1.75","7.23","1.33"
"","2019-05-12","8.10","92.60","0.00","19.60","37.76","1.08","1","0.08","28.32","23.27","3.94","17.92","2.98"
"","2019-05-13","8.90","68.20","0.00","0.20","37.97","1.14","0.78","0.36","28.48","25.7","4.74","19.79","3.28"
"","2019-05-14","8.40","61.10","0.00","0.70","38.18","1.1","0.67","0.43","28.64","25.37","4.8","19.54","3.17"
"","2019-05-15","8.70","80.10","0.00","11.00","38.39","1.12","0.9","0.22","28.79","25.88","4.5","19.93","3.35"
"","2019-05-16","12.10","97.60","0.00","21.40","38.6","1.41","1.38","0.03","28.95","26.16","4.06","20.14","3.82"
"","2019-05-17","14.20","90.40","0.00","1.80","38.77","1.62","1.46","0.16","29.08","26.15","4.05","20.14","4"
"","2019-05-18","16.60","79.50","0.00","1.50","38.94","1.89","1.5","0.39","29.21","13.02","2.06","10.03","2.09"
"","2019-05-19","18.20","76.40","0.00","0.00","39.1","2.09","1.6","0.49","29.33","10.26","1.61","7.9","1.7"
"","2019-05-20","19.90","70.60","0.00","3.30","39.27","2.32","1.64","0.68","29.45","11.65","1.84","8.97","1.99"
"","2019-05-21","18.60","74.60","0.00","7.20","39.44","2.14","1.6","0.54","29.58","10.59","1.65","8.16","1.77"
"","2019-05-22","19.40","66.40","0.00","0.60","39.61","2.25","1.5","0.76","29.71","9.9","1.61","7.62","1.66"
"","2019-05-23","14.40","72.10","0.00","0.00","39.77","1.64","1.18","0.46","29.83","16.82","2.81","12.95","2.54"
"","2019-05-24","16.60","49.50","0.00","0.00","39.94","1.89","0.94","0.95","29.96","12.93","2.42","9.95","1.97"
"","2019-05-25","15.30","54.60","0.00","0.20","40.11","1.74","0.95","0.79","30.08","27.25","4.96","20.98","4.09"
"","2019-05-26","15.60","53.70","0.00","0.00","40.28","1.77","0.95","0.82","30.21","27.26","4.96","20.99","4.11"
"","2019-05-27","19.30","49.50","0.00","0.00","40.44","2.24","1.11","1.13","30.33","26.51","4.82","20.41","4.3"
"","2019-05-28","15.00","88.00","0.00","7.50","40.57","1.71","1.5","0.2","30.43","24.12","3.57","18.57","3.8"
"","2019-05-29","13.10","60.40","0.00","0.20","40.7","1.51","0.91","0.6","30.53","27.07","4.75","20.85","3.91"
"","2019-05-30","12.60","49.60","0.00","0.00","40.82","1.46","0.72","0.74","30.62","27.77","5.16","21.38","3.89"
"","2019-05-31","16.90","61.10","0.00","2.50","40.95","1.93","1.18","0.75","30.71","27.88","4.71","21.46","4.41"
"","2019-06-01","18.70","72.60","0.00","0.00","41.03","2.16","1.57","0.59","30.77","27.93","4.24","21.51","4.71"
"","2019-06-02","21.50","55.80","0.00","0.00","41.11","2.56","1.43","1.13","30.83","27.98","4.64","21.55","4.83"
"","2019-06-03","23.70","46.90","0.00","1.50","41.2","2.93","1.37","1.56","30.9","27.94","4.87","21.51","4.92"
"","2019-06-04","25.10","40.40","0.00","0.00","41.28","3.19","1.29","1.9","30.96","27.62","5.06","21.27","4.89"
"","2019-06-05","25.40","45.20","0.00","0.00","41.37","3.24","1.47","1.78","31.03","27.06","4.68","20.84","4.89"
"","2019-06-06","25.10","41.70","0.10","0.20","41.45","3.19","1.33","1.86","31.09","15.3","2.75","11.78","2.86"
"","2019-06-07","23.30","56.00","0.00","0.00","41.53","2.86","1.6","1.26","31.15","25.09","3.99","19.32","4.5"
"","2019-06-08","21.30","60.50","0.00","0.00","41.62","2.53","1.53","1","31.22","27.25","4.3","20.98","4.76"
"","2019-06-09","19.50","41.40","0.00","0.00","41.7","2.27","0.94","1.33","31.28","13.4","2.52","10.32","2.16"
"","2019-06-10","24.00","43.10","0.10","0.00","41.78","2.98","1.29","1.7","31.34","26.61","4.74","20.49","4.79"
"","2019-06-11","29.50","39.80","0.00","0.00","41.83","4.12","1.64","2.48","31.37","25.06","4.3","19.3","4.77"
"","2019-06-12","29.60","35.50","0.10","0.00","41.87","4.15","1.47","2.67","31.4","11.83","2.15","9.11","2.4"
"","2019-06-13","23.00","67.20","0.00","8.20","41.91","2.81","1.89","0.92","31.43","14.57","2.07","11.22","2.68"
"","2019-06-14","23.40","58.80","0.00","0.00","41.95","2.88","1.69","1.19","31.46","10.49","1.61","8.08","1.9"
"","2019-06-15","24.50","55.00","0.20","1.50","41.99","3.07","1.69","1.38","31.49","18.95","2.95","14.59","3.67"
"","2019-06-16","20.60","65.70","0.00","0.20","42.04","2.43","1.59","0.83","31.53","21.7","3.28","16.71","3.78"
"","2019-06-17","20.00","52.90","0.00","0.00","42.08","2.34","1.24","1.1","31.56","16.62","2.81","12.8","2.79"
"","2019-06-18","22.10","45.50","0.00","0.00","42.08","2.66","1.21","1.45","31.56","26.11","4.6","20.11","4.48"
"","2019-06-19","24.50","47.70","0.00","0.00","42.12","3.07","1.47","1.61","31.59","11.03","1.85","8.49","1.99"
"","2019-06-20","24.40","58.40","0.00","2.40","42.12","3.06","1.78","1.27","31.59","10.53","1.58","8.11","1.95"
"","2019-06-21","21.00","72.30","0.00","0.50","42.12","2.49","1.8","0.69","31.59","18.21","2.58","14.02","3.24"
"","2019-06-22","20.60","51.80","0.00","0.20","42.12","2.43","1.26","1.17","31.59","19.82","3.36","15.26","3.35"
"","2019-06-23","20.50","44.00","0.00","0.00","42.12","2.41","1.06","1.35","31.59","10.53","1.9","8.11","1.75"
"","2019-06-24","22.30","45.90","0.00","0.00","42.08","2.69","1.24","1.46","31.56","19.31","3.38","14.87","3.32"
"","2019-06-25","26.00","40.90","0.00","0.00","42.08","3.36","1.37","1.99","31.56","15.62","2.76","12.03","2.83"
"","2019-06-26","29.60","40.90","0.00","0.50","42.04","4.15","1.7","2.45","31.53","11.01","1.85","8.48","2.11"
"","2019-06-27","19.80","55.80","0.00","0.20","41.99","2.31","1.29","1.02","31.49","10.5","1.74","8.08","1.76"
"","2019-06-28","19.70","52.50","0.00","0.00","41.95","2.3","1.2","1.09","31.46","15.08","2.57","11.61","2.51"
"","2019-06-29","21.50","41.70","0.00","0.00","41.91","2.56","1.07","1.5","31.43","15.81","2.91","12.17","2.65"
"","2019-06-30","27.70","31.50","0.00","0.00","41.87","3.71","1.17","2.54","31.4","14.43","2.82","11.11","2.58"
"","2019-07-01","23.00","42.30","1.40","1.50","41.83","2.81","1.19","1.62","31.37","13.8","2.5","10.63","4.05"
"","2019-07-02","18.30","48.30","1.70","0.00","41.74","2.1","1.02","1.09","31.31","21.67","3.88","16.69","4.74"
"","2019-07-03","15.30","47.20","1.60","0.00","41.66","1.74","0.82","0.92","31.25","18.1","3.32","13.94","3.88"
"","2019-07-04","15.90","46.50","1.60","0.00","41.57","1.81","0.84","0.97","31.18","13.86","2.55","10.67","3.43"
"","2019-07-05","16.40","66.80","2.10","5.10","41.49","1.87","1.25","0.62","31.12","19.39","3.13","14.93","3.77"
"","2019-07-06","15.80","78.60","0.80","1.60","41.41","1.8","1.41","0.38","31.06","16.39","2.48","12.62","2.74"
"","2019-07-07","15.70","64.50","2.10","0.00","41.32","1.78","1.15","0.63","30.99","20.72","3.43","15.96","3.93"
"","2019-07-08","15.00","61.60","1.80","0.20","41.24","1.71","1.05","0.65","30.93","25.37","4.31","19.54","4.43"
"","2019-07-09","15.30","65.80","1.60","0.20","41.16","1.74","1.14","0.59","30.87","26.8","4.44","20.64","4.49"
"","2019-07-10","16.80","62.20","1.20","2.90","41.07","1.91","1.19","0.72","30.8","26.35","4.41","20.29","4.6"
"","2019-07-11","18.30","55.70","0.50","0.20","40.95","2.1","1.17","0.93","30.71","25.29","4.37","19.47","4.39"
"","2019-07-12","20.00","49.10","0.50","3.70","40.82","2.34","1.15","1.19","30.62","21.89","3.93","16.85","4.05"
"","2019-07-13","18.40","69.50","0.50","7.80","40.7","2.12","1.47","0.65","30.53","15.85","2.49","12.2","2.85"
"","2019-07-14","19.00","56.30","0.60","0.00","40.57","2.2","1.24","0.96","30.43","20.84","3.6","16.05","3.82"
