"","Data","T","RH","V","P","Ra","es","ea","VPD","RS0","Rs","RNL","RNS","ET0"
"","2015-04-01","3.60","47.30","2.80","3.20","26.3","0.79","0.37","0.42","19.73","16.99","4.87","13.09","2.57"
"","2015-04-02","2.40","36.30","1.50","0.80","26.92","0.73","0.26","0.46","20.19","17.31","5.01","13.33","2.29"
"","2015-04-03","4.00","36.60","1.50","1.60","27.26","0.81","0.3","0.52","20.45","13.37","3.86","10.29","2.17"
"","2015-04-04","3.10","43.50","0.90","0.40","27.59","0.76","0.33","0.43","20.69","11.39","3.15","8.77","1.56"
"","2015-04-05","3.50","40.10","1.20","0.00","27.93","0.79","0.31","0.47","20.95","17.69","4.9","13.62","2.26"
"","2015-04-06","3.40","32.00","0.90","0.00","28.26","0.78","0.25","0.53","21.2","14.93","4.22","11.49","1.99"
"","2015-04-07","4.30","42.80","1.40","0.20","28.55","0.83","0.36","0.48","21.41","7.56","2.04","5.82","1.63"
"","2015-04-08","7.90","32.40","1.30","0.00","28.85","1.07","0.35","0.72","21.64","8.28","2.35","6.38","2.07"
"","2015-04-09","6.10","50.30","0.60","0.20","29.14","0.94","0.47","0.47","21.86","10.31","2.66","7.94","1.44"
"","2015-04-10","10.60","39.60","0.50","0.00","29.43","1.28","0.51","0.77","22.07","13.2","3.59","10.16","1.97"
"","2015-04-11","13.60","34.80","0.80","0.00","29.73","1.56","0.54","1.02","22.3","10.8","3","8.31","2.22"
"","2015-04-12","10.70","41.70","1.90","0.00","30.02","1.29","0.54","0.75","22.52","9.9","2.61","7.62","2.66"
"","2015-04-13","7.30","68.00","2.60","2.20","30.31","1.02","0.7","0.33","22.73","10.54","2.45","8.12","1.9"
"","2015-04-14","6.50","44.10","1.90","1.20","30.61","0.97","0.43","0.54","22.96","18.55","4.69","14.29","2.91"
"","2015-04-15","12.70","35.40","1.80","0.00","30.9","1.47","0.52","0.95","23.18","8.39","2.23","6.46","2.83"
"","2015-04-16","12.50","41.60","1.90","0.00","31.19","1.45","0.6","0.85","23.39","17.04","4.33","13.12","3.55"
"","2015-04-17","8.00","30.20","1.80","0.40","31.48","1.07","0.32","0.75","23.61","16.24","4.28","12.51","3.19"
