"","Data","T","RH","V","P","Ra","es","ea","VPD","RS0","Rs","RNL","RNS","ET0"
"","2020-04-01","2.70","46.50","2.20","0.00","26.3","0.74","0.34","0.4","19.73","16.99","4.87","13.09","2.33"
"","2020-04-02","6.40","46.40","2.50","0.00","26.92","0.96","0.45","0.52","20.19","17.31","4.92","13.33","2.87"
"","2020-04-03","6.20","44.80","2.80","0.00","27.26","0.95","0.42","0.52","20.45","13.37","3.78","10.29","2.74"
"","2020-04-04","4.20","53.90","0.90","0.00","27.59","0.82","0.44","0.38","20.69","11.39","3.05","8.77","1.52"
"","2020-04-05","6.60","42.30","0.90","0.00","27.93","0.97","0.41","0.56","20.95","17.69","4.94","13.62","2.35"
"","2020-04-06","11.60","30.50","1.40","0.00","28.26","1.37","0.42","0.95","21.2","14.93","4.46","11.49","3.07"
"","2020-04-07","13.90","34.90","1.50","0.00","28.55","1.59","0.55","1.03","21.41","7.56","2.19","5.82","2.57"
"","2020-04-08","10.60","46.20","0.50","0.00","28.85","1.28","0.59","0.69","21.64","8.28","2.22","6.38","1.4"
"","2020-04-09","10.70","51.50","1.70","0.00","29.14","1.29","0.66","0.62","21.86","10.31","2.66","7.94","2.31"
"","2020-04-10","8.30","45.50","1.10","0.00","29.43","1.09","0.5","0.6","22.07","13.2","3.47","10.16","2.19"
"","2020-04-11","8.40","31.50","0.90","0.00","29.73","1.1","0.35","0.76","22.3","10.8","3","8.31","2.03"
"","2020-04-12","12.40","30.90","1.20","0.00","30.02","1.44","0.44","1","22.52","9.9","2.78","7.62","2.52"
"","2020-04-13","7.80","44.90","2.10","0.00","30.31","1.06","0.48","0.58","22.73","10.54","2.69","8.12","2.47"
"","2020-04-14","3.70","44.90","2.00","0.00","30.61","0.8","0.36","0.44","22.96","18.55","4.61","14.29","2.62"
"","2020-04-15","6.60","57.50","2.50","0.00","30.9","0.97","0.56","0.41","23.18","8.39","1.99","6.46","1.98"
"","2020-04-16","8.90","51.30","2.50","0.00","31.19","1.14","0.58","0.56","23.39","17.04","4.12","13.12","3.1"
