"","Data","T","RH","V","P","Ra","es","ea","VPD","RS0","Rs","RNL","RNS","ET0"
"","2013-04-01","2.40","80.40","1.40","3.40","26.3","0.73","0.58","0.14","19.73","16.99","4.38","13.09","1.55"
"","2013-04-02","2.40","66.90","0.90","0.00","26.92","0.73","0.49","0.24","20.19","17.31","4.53","13.33","1.73"
"","2013-04-03","2.40","67.00","1.70","0.30","27.26","0.73","0.49","0.24","20.45","13.37","3.45","10.29","1.57"
"","2013-04-04","2.40","79.00","1.10","0.20","27.59","0.73","0.57","0.15","20.69","11.39","2.81","8.77","1.17"
"","2013-04-05","2.40","81.40","1.10","0.40","27.93","0.73","0.59","0.14","20.95","17.69","4.28","13.62","1.63"
"","2013-04-06","2.90","54.80","1.30","0.00","28.26","0.75","0.41","0.34","21.2","14.93","3.87","11.49","1.85"
"","2013-04-07","3.60","49.80","0.90","0.00","28.55","0.79","0.39","0.4","21.41","7.56","1.98","5.82","1.24"
"","2013-04-08","4.20","60.30","0.80","0.20","28.85","0.82","0.5","0.33","21.64","8.28","2.07","6.38","1.17"
"","2013-04-09","4.40","54.10","2.20","0.20","29.14","0.84","0.45","0.38","21.86","10.31","2.61","7.94","1.93"
"","2013-04-10","4.80","64.20","1.60","0.00","29.43","0.86","0.55","0.31","22.07","13.2","3.2","10.16","1.8"
"","2013-04-11","5.60","75.80","1.40","1.40","29.73","0.91","0.69","0.22","22.3","10.8","2.49","8.31","1.4"
"","2013-04-12","6.70","82.80","1.20","1.60","30.02","0.98","0.81","0.17","22.52","9.9","2.2","7.62","1.23"
"","2013-04-13","7.50","72.00","1.20","2.60","30.31","1.04","0.75","0.29","22.73","10.54","2.41","8.12","1.52"
"","2013-04-14","8.60","62.20","1.00","0.00","30.61","1.12","0.7","0.42","22.96","18.55","4.36","14.29","2.48"
"","2013-04-15","8.80","55.30","1.80","0.00","30.9","1.13","0.63","0.51","23.18","8.39","2.01","6.46","1.96"
"","2013-04-16","9.60","47.70","1.60","0.20","31.19","1.2","0.57","0.63","23.39","17.04","4.19","13.12","2.92"
"","2013-04-17","11.00","63.80","0.60","2.20","31.48","1.31","0.84","0.48","23.61","16.24","3.66","12.51","2.29"
"","2013-04-18","12.00","54.30","1.70","3.20","31.78","1.4","0.76","0.64","23.84","11.41","2.66","8.79","2.5"
"","2013-04-19","12.90","51.60","1.20","0.00","32.07","1.49","0.77","0.72","24.05","16.94","3.96","13.04","2.97"
"","2013-04-20","12.30","48.30","1.20","0.00","32.32","1.43","0.69","0.74","24.24","16.56","3.92","12.75","2.94"
"","2013-04-21","7.00","49.20","1.60","0.00","32.57","1","0.49","0.51","24.43","20.58","4.79","15.85","2.97"
"","2013-04-22","11.80","31.60","1.70","0.00","32.87","1.38","0.44","0.95","24.65","16.78","4.28","12.92","3.61"
"","2013-04-23","12.50","39.90","1.60","0.00","33.16","1.45","0.58","0.87","24.87","20.52","4.96","15.8","3.82"
"","2013-04-24","12.50","44.40","1.40","0.00","33.41","1.45","0.64","0.81","25.06","11.33","2.65","8.72","2.62"
"","2013-04-25","12.90","54.10","1.00","0.00","33.66","1.49","0.81","0.68","25.25","21.44","4.71","16.51","3.39"
"","2013-04-26","13.10","51.40","1.20","0.00","33.91","1.51","0.77","0.73","25.43","10.78","2.39","8.3","2.33"
"","2013-04-27","13.90","71.60","1.00","0.20","34.16","1.59","1.14","0.45","25.62","20.2","3.95","15.55","3.09"
"","2013-04-28","12.80","54.00","1.00","0.20","34.42","1.48","0.8","0.68","25.82","14.42","3.1","11.1","2.57"
"","2013-04-29","12.40","73.30","0.70","1.60","34.67","1.44","1.06","0.38","26","17.39","3.37","13.39","2.55"
"","2013-04-30","11.80","55.10","0.70","0.00","34.92","1.38","0.76","0.62","26.19","15.64","3.31","12.05","2.47"
"","2013-05-01","12.70","36.80","0.70","0.00","35.17","1.47","0.54","0.93","26.38","21.22","4.92","16.34","3.38"
"","2013-05-02","11.40","56.10","1.10","0.00","35.42","1.35","0.76","0.59","26.57","12.37","2.57","9.53","2.27"
"","2013-05-03","11.20","38.70","1.20","0.00","35.67","1.33","0.51","0.82","26.75","14.71","3.32","11.32","2.88"
"","2013-05-04","14.20","41.40","0.70","0.00","35.92","1.62","0.67","0.95","26.94","20.09","4.44","15.47","3.36"
"","2013-05-05","15.20","45.10","0.80","0.00","36.17","1.73","0.78","0.95","27.13","21.22","4.54","16.34","3.65"
"","2013-05-06","16.70","41.10","1.20","0.00","36.43","1.9","0.78","1.12","27.32","9.11","1.98","7.01","2.64"
"","2013-05-07","19.30","44.10","1.20","0.20","36.68","2.24","0.99","1.25","27.51","9.17","1.92","7.06","2.76"
"","2013-05-08","22.20","48.40","1.40","0.00","36.93","2.68","1.3","1.38","27.7","23.86","4.66","18.37","5.2"
"","2013-05-09","19.70","65.40","1.20","13.60","37.14","2.3","1.5","0.79","27.86","9.29","1.62","7.15","2.3"
"","2013-05-10","16.90","77.90","0.80","3.00","37.35","1.93","1.5","0.43","28.01","13.65","2.26","10.51","2.37"
"","2013-05-11","13.70","73.80","0.10","3.20","37.56","1.57","1.16","0.41","28.17","9.39","1.66","7.23","1.41"
"","2013-05-12","12.00","80.70","0.60","3.60","37.76","1.4","1.13","0.27","28.32","23.27","4","17.92","3.26"
"","2013-05-13","12.60","71.20","0.70","0.00","37.97","1.46","1.04","0.42","28.48","25.7","4.59","19.79","3.72"
"","2013-05-14","12.90","60.00","1.60","0.00","38.18","1.49","0.89","0.6","28.64","25.37","4.76","19.54","4.07"
"","2013-05-15","16.30","51.20","1.80","0.00","38.39","1.85","0.95","0.9","28.79","25.88","5","19.93","4.9"
"","2013-05-16","19.80","43.70","2.00","0.00","38.6","2.31","1.01","1.3","28.95","26.16","5.2","20.14","5.8"
"","2013-05-17","22.30","40.10","1.70","0.00","38.77","2.69","1.08","1.61","29.08","26.15","5.25","20.14","6.06"
"","2013-05-18","19.50","52.00","1.40","3.40","38.94","2.27","1.18","1.09","29.21","13.02","2.41","10.03","3.32"
"","2013-05-19","19.20","48.70","0.70","0.00","39.1","2.22","1.08","1.14","29.33","10.26","1.94","7.9","2.37"
"","2013-05-20","17.70","62.90","0.60","4.40","39.27","2.03","1.27","0.75","29.45","11.65","2.01","8.97","2.25"
"","2013-05-21","15.40","52.90","0.90","0.00","39.44","1.75","0.93","0.82","29.58","10.59","1.98","8.16","2.3"
"","2013-05-22","13.70","59.70","1.10","0.00","39.61","1.57","0.94","0.63","29.71","9.9","1.79","7.62","2.11"
"","2013-05-23","10.50","58.10","0.60","1.40","39.77","1.27","0.74","0.53","29.83","16.82","3.09","12.95","2.53"
"","2013-05-24","12.00","50.80","1.00","0.00","39.94","1.4","0.71","0.69","29.96","12.93","2.44","9.95","2.47"
"","2013-05-25","9.80","88.70","1.60","29.60","40.11","1.21","1.07","0.14","30.08","27.25","4.35","20.98","3.28"
"","2013-05-26","11.80","63.40","0.50","5.00","40.28","1.38","0.88","0.51","30.21","27.26","4.79","20.99","3.92"
"","2013-05-27","13.20","74.10","0.90","0.00","40.44","1.52","1.12","0.39","30.33","26.51","4.35","20.41","3.94"
"","2013-05-28","12.30","84.70","1.80","13.40","40.57","1.43","1.21","0.22","30.43","24.12","3.78","18.57","3.28"
"","2013-05-29","16.40","62.40","1.00","1.20","40.7","1.87","1.16","0.7","30.53","27.07","4.59","20.85","4.58"
"","2013-05-30","17.90","66.70","1.10","0.00","40.82","2.05","1.37","0.68","30.62","27.77","4.48","21.38","4.83"
"","2013-05-31","18.00","72.90","0.90","13.00","40.95","2.06","1.5","0.56","30.71","27.88","4.29","21.46","4.73"
"","2013-06-01","18.00","71.50","0.90","0.20","41.03","2.06","1.48","0.59","30.77","27.93","4.33","21.51","4.76"
"","2013-06-02","18.20","65.40","1.50","3.60","41.11","2.09","1.37","0.72","30.83","27.98","4.5","21.55","5.03"
"","2013-06-03","17.40","73.90","1.30","3.80","41.2","1.99","1.47","0.52","30.9","27.94","4.28","21.51","4.69"
"","2013-06-04","14.30","70.50","1.00","0.00","41.28","1.63","1.15","0.48","30.96","27.62","4.48","21.27","4.29"
"","2013-06-05","12.10","72.10","0.60","1.00","41.37","1.41","1.02","0.39","31.03","27.06","4.43","20.84","3.91"
"","2013-06-06","15.70","72.50","0.70","0.20","41.45","1.78","1.29","0.49","31.09","15.3","2.41","11.78","2.63"
"","2013-06-07","19.30","60.40","0.60","0.00","41.53","2.24","1.35","0.89","31.15","25.09","4.09","19.32","4.51"
"","2013-06-08","19.90","52.10","0.50","0.00","41.62","2.32","1.21","1.11","31.22","27.25","4.69","20.98","4.89"
"","2013-06-09","19.30","49.50","1.00","0.80","41.7","2.24","1.11","1.13","31.28","13.4","2.36","10.32","3.14"
"","2013-06-10","18.00","55.50","0.70","2.40","41.78","2.06","1.15","0.92","31.34","26.61","4.53","20.49","4.69"
"","2013-06-11","17.10","48.70","0.60","0.00","41.83","1.95","0.95","1","31.37","25.06","4.5","19.3","4.35"
"","2013-06-12","19.00","46.70","1.40","0.00","41.87","2.2","1.03","1.17","31.4","11.83","2.13","9.11","3.29"
"","2013-06-13","20.50","43.20","1.10","0.00","41.91","2.41","1.04","1.37","31.43","14.57","2.67","11.22","3.62"
"","2013-06-14","18.10","49.40","1.00","0.00","41.95","2.08","1.03","1.05","31.46","10.49","1.86","8.08","2.63"
"","2013-06-15","18.30","48.50","0.90","0.00","41.99","2.1","1.02","1.08","31.49","18.95","3.37","14.59","3.8"
"","2013-06-16","19.40","41.40","0.60","0.00","42.04","2.25","0.93","1.32","31.53","21.7","4.04","16.71","4.12"
"","2013-06-17","18.40","44.00","0.60","0.00","42.08","2.12","0.93","1.19","31.56","16.62","3.05","12.8","3.26"
"","2013-06-18","20.80","51.70","1.00","0.00","42.08","2.46","1.27","1.19","31.56","26.11","4.42","20.11","5.17"
"","2013-06-19","24.10","42.50","1.90","0.00","42.12","3","1.28","1.73","31.59","11.03","1.96","8.49","4.26"
"","2013-06-20","26.30","40.80","1.20","0.00","42.12","3.42","1.4","2.03","31.59","10.53","1.86","8.11","3.62"
"","2013-06-21","26.10","44.10","0.80","0.00","42.12","3.38","1.49","1.89","31.59","18.21","3.1","14.02","4.34"
"","2013-06-22","22.50","43.30","0.70","0.00","42.12","2.73","1.18","1.55","31.59","19.82","3.55","15.26","4.2"
"","2013-06-23","20.60","56.90","0.80","0.00","42.12","2.43","1.38","1.05","31.59","10.53","1.71","8.11","2.5"
"","2013-06-24","20.80","49.20","1.30","0.00","42.08","2.46","1.21","1.25","31.56","19.31","3.34","14.87","4.4"
"","2013-06-25","16.10","79.10","1.00","34.20","42.08","1.83","1.45","0.38","31.56","15.62","2.31","12.03","2.68"
"","2013-06-26","13.80","86.10","0.70","5.20","42.04","1.58","1.36","0.22","31.53","11.01","1.62","8.48","1.75"
"","2013-06-27","13.50","59.10","0.60","0.00","41.99","1.55","0.91","0.63","31.49","10.5","1.8","8.08","1.93"
"","2013-06-28","14.30","56.40","0.70","0.00","41.95","1.63","0.92","0.71","31.46","15.08","2.61","11.61","2.69"
"","2013-06-29","16.20","57.40","0.90","0.00","41.91","1.84","1.06","0.78","31.43","15.81","2.69","12.17","3.04"
"","2013-06-30","14.60","55.40","0.80","0.80","41.87","1.66","0.92","0.74","31.4","14.43","2.51","11.11","2.69"
"","2013-07-01","15.60","63.80","0.70","0.00","41.83","1.77","1.13","0.64","31.37","13.8","2.27","10.63","2.52"
"","2013-07-02","18.20","61.80","1.00","0.60","41.74","2.09","1.29","0.8","31.31","21.67","3.52","16.69","4.04"
"","2013-07-03","20.70","56.10","0.90","2.60","41.66","2.44","1.37","1.07","31.25","18.1","2.99","13.94","3.77"
"","2013-07-04","23.10","58.60","0.70","3.20","41.57","2.83","1.66","1.17","31.18","13.86","2.16","10.67","3.09"
"","2013-07-05","20.30","69.30","0.80","4.80","41.49","2.38","1.65","0.73","31.12","19.39","2.9","14.93","3.7"
"","2013-07-06","19.80","52.10","0.60","0.00","41.41","2.31","1.2","1.11","31.06","16.39","2.84","12.62","3.25"
"","2013-07-07","19.40","51.00","0.60","0.00","41.32","2.25","1.15","1.1","30.99","20.72","3.64","15.96","3.89"
"","2013-07-08","20.90","48.60","0.60","0.00","41.24","2.47","1.2","1.27","30.93","25.37","4.49","19.54","4.78"
"","2013-07-09","20.90","55.80","0.80","0.00","41.16","2.47","1.38","1.09","30.87","26.8","4.48","20.64","5.09"
"","2013-07-10","18.80","56.50","0.60","0.20","41.07","2.17","1.23","0.94","30.8","26.35","4.5","20.29","4.66"
"","2013-07-11","16.70","63.90","0.90","0.80","40.95","1.9","1.21","0.69","30.71","25.29","4.2","19.47","4.32"
"","2013-07-12","15.50","79.90","0.60","8.60","40.82","1.76","1.41","0.35","30.62","21.89","3.35","16.85","3.47"
"","2013-07-13","15.70","79.50","1.00","7.60","40.7","1.78","1.42","0.37","30.53","15.85","2.43","12.2","2.66"
"","2013-07-14","17.90","57.80","0.90","0.00","40.57","2.05","1.19","0.87","30.43","20.84","3.6","16.05","3.88"
"","2013-07-15","17.40","61.10","0.70","0.00","40.44","1.99","1.21","0.77","30.33","24.33","4.14","18.73","4.2"
"","2013-07-16","16.60","65.40","0.60","0.00","40.32","1.89","1.24","0.65","30.24","16.96","2.84","13.06","2.96"
"","2013-07-17","19.30","58.30","0.80","0.00","40.19","2.24","1.31","0.93","30.14","14.95","2.56","11.51","3.05"
"","2013-07-18","20.90","51.40","1.10","0.00","40.07","2.47","1.27","1.2","30.05","10.63","1.89","8.19","2.87"
"","2013-07-19","18.80","60.50","0.80","0.00","39.94","2.17","1.31","0.86","29.96","22.85","3.89","17.59","4.16"
"","2013-07-20","18.50","49.20","0.40","0.00","39.77","2.13","1.05","1.08","29.83","20.19","3.76","15.55","3.55"
"","2013-07-21","20.50","42.40","0.90","0.00","39.61","2.41","1.02","1.39","29.71","24.45","4.76","18.83","4.85"
"","2013-07-22","20.80","44.70","1.10","0.00","39.44","2.46","1.1","1.36","29.58","25.68","4.92","19.78","5.2"
"","2013-07-23","18.70","46.30","1.20","0.00","39.27","2.16","1","1.16","29.45","26.65","5.14","20.52","5.12"
"","2013-07-24","20.50","48.10","0.80","0.00","39.1","2.41","1.16","1.25","29.33","26.05","4.9","20.06","4.93"
"","2013-07-25","21.80","56.40","0.60","0.00","38.94","2.61","1.47","1.14","29.21","21.54","3.73","16.58","4.14"
"","2013-07-26","23.40","50.50","0.70","0.00","38.73","2.88","1.45","1.42","29.05","14.28","2.57","11","3.23"
"","2013-07-27","24.70","51.30","0.90","0.00","38.52","3.11","1.6","1.52","28.89","24.29","4.27","18.7","5.15"
"","2013-07-28","27.10","46.30","0.70","0.00","38.31","3.59","1.66","1.93","28.73","22.83","4.09","17.58","5"
"","2013-07-29","23.80","65.30","1.00","0.00","38.1","2.95","1.93","1.02","28.58","25.68","4.02","19.77","5.15"
"","2013-07-30","20.20","69.30","0.80","14.40","37.89","2.37","1.64","0.73","28.42","24.46","4.02","18.83","4.41"
"","2013-07-31","19.20","63.30","0.50","0.00","37.68","2.22","1.41","0.82","28.26","25.02","4.4","19.27","4.32"
"","2013-08-01","20.00","58.90","0.60","0.00","37.47","2.34","1.38","0.96","28.1","24.88","4.5","19.16","4.44"
"","2013-08-02","23.70","53.50","1.10","0.00","37.26","2.93","1.57","1.36","27.95","17.2","3.11","13.24","4.01"
"","2013-08-03","24.50","43.30","0.60","0.00","37.05","3.07","1.33","1.74","27.79","20.86","4.16","16.06","4.29"
